configuration,category,queries,recall_at_1,recall_at_5,mrr,ndcg_at_5,primary_at_1,top_score_mean
C9,year,3,1.0,1.0,1.0,1.0,1.0,
C9,no_answer,2,,,,,,0.815178
best_vector_trgm_rrf,department,2,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,exact_title,3,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,keyword,2,0.75,1.0,1.0,0.9619,1.0,
best_vector_trgm_rrf,morphology,3,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,numeric,2,0.75,1.0,1.0,0.9619,1.0,
best_vector_trgm_rrf,partial_match,2,0.375,0.875,1.0,0.8694,0.5,
best_vector_trgm_rrf,semantic,4,0.875,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,similar_document,2,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,spacing,3,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,typo,2,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,year,3,1.0,1.0,1.0,1.0,1.0,
best_vector_trgm_rrf,no_answer,2,,,,,,0.016393
